station,year,yearly_rainfall
Admiralty,2014,2163.306427861813
Admiralty,2015,2046.7999999999997
Admiralty,2016,1967.9999999999998
Admiralty,2017,2137.385641437392
Admiralty,2018,2095.095700871244
Admiralty,2019,1969.4
Admiralty,2020,2071.7501517647743
Admiralty,2021,2830.6281137681594
Admiralty,2022,3319.1
Admiralty,2023,2588.8
Ang Mo Kio,2014,2102.7452118711585
Ang Mo Kio,2015,2018.3999999999999
Ang Mo Kio,2016,2193.4
Ang Mo Kio,2017,2772.092869606632
Ang Mo Kio,2018,2635.163510419158
Ang Mo Kio,2019,1432.3381184084094
Ang Mo Kio,2020,2395.0198720091707
Ang Mo Kio,2021,3176.6686400891736
Ang Mo Kio,2022,3098.0375872861478
Ang Mo Kio,2023,2913.5014966709987
Changi,2014,1538.3999999999999
Changi,2015,1266.8
Changi,2016,1956.5
Changi,2017,2054.6
Changi,2018,1708.1999999999998
Changi,2019,1367.5000000000002
Changi,2020,1886.6
Changi,2021,2809.6
Changi,2022,2207.7999999999997
Changi,2023,2411.2
Choa Chu Kang (South),2014,2119.160340558543
Choa Chu Kang (South),2015,1751.8020705826934
Choa Chu Kang (South),2016,2565.841458784394
Choa Chu Kang (South),2017,2709.9120817298367
Choa Chu Kang (South),2018,2696.176555279515
Choa Chu Kang (South),2019,2136.7
Choa Chu Kang (South),2020,2740
Choa Chu Kang (South),2021,3448.2000000000003
Choa Chu Kang (South),2022,2899.5999999999995
Choa Chu Kang (South),2023,3263.6
Clementi,2014,2255.7999999999997
Clementi,2015,1813.2
Clementi,2016,2430.822323482834
Clementi,2017,1918.081187646686
Clementi,2018,2530.7033533333774
Clementi,2019,1738.8999999999999
Clementi,2020,2493.5177105149874
Clementi,2021,3125.610382180892
Clementi,2022,3031.8835417895802
Clementi,2023,3116
East Coast Parkway,2014,1355.3946649895588
East Coast Parkway,2015,1031
East Coast Parkway,2016,1646
East Coast Parkway,2017,2052.6516967773714
East Coast Parkway,2018,1241.340432165394
East Coast Parkway,2019,1292.6999999999998
East Coast Parkway,2020,2077.6
East Coast Parkway,2021,2551.6000000000004
East Coast Parkway,2022,1989.0309120718011
East Coast Parkway,2023,2073.660184325906
Jurong (West),2014,1027.689154654649
Jurong (West),2015,2348
Jurong (West),2016,2482
Jurong (West),2017,2384.9036060481576
Jurong (West),2018,2829.4
Jurong (West),2019,2077.9
Jurong (West),2020,3286.4
Jurong (West),2021,3213.6
Jurong (West),2022,3106.3999999999996
Jurong (West),2023,2862.219914532124
Jurong Island,2014,1893.4694821087312
Jurong Island,2015,1799.6
Jurong Island,2016,2211.619115840264
Jurong Island,2017,2326.7999999999997
Jurong Island,2018,2552.044686634062
Jurong Island,2019,1520
Jurong Island,2020,2578.2665018063076
Jurong Island,2021,1925.8462312309462
Jurong Island,2022,2736.1229425003
Jurong Island,2023,2344.3780656556673
Newton,2014,2204.6
Newton,2015,1825.5999999999997
Newton,2016,1575.4563625804421
Newton,2017,2540.5800113056257
Newton,2018,2144.1020426273544
Newton,2019,1509.5739457641394
Newton,2020,2319.7793811976767
Newton,2021,2876.685280303727
Newton,2022,2456.644491385556
Newton,2023,2936.316515539768
Pasir Panjang,2014,1840.2486247494314
Pasir Panjang,2015,1707.4746513509908
Pasir Panjang,2016,2031
Pasir Panjang,2017,2079.6
Pasir Panjang,2018,2254.2
Pasir Panjang,2019,1611.6000000000001
Pasir Panjang,2020,2390.588896014114
Pasir Panjang,2021,3002.4
Pasir Panjang,2022,2535.6271873509113
Pasir Panjang,2023,2358.130571215463
Sentosa Island,2014,2150.802688760952
Sentosa Island,2015,1686.203340847694
Sentosa Island,2016,2068.4391299486074
Sentosa Island,2017,1678.6842332264364
Sentosa Island,2018,1571.5273164761893
Sentosa Island,2019,1266.680855083191
Sentosa Island,2020,1698.0713262461945
Sentosa Island,2021,2636.732691282871
Sentosa Island,2022,2691.439733534126
Sentosa Island,2023,2448.2571156080066
Tai Seng,2014,1950.4
Tai Seng,2015,1584.6
Tai Seng,2016,2249.2
Tai Seng,2017,2752.00132062213
Tai Seng,2018,2184
Tai Seng,2019,1638.7
Tai Seng,2020,2585
Tai Seng,2021,3331.6615205229728
Tai Seng,2022,2705.230734925421
Tai Seng,2023,2583
Tuas South,2014,1751.8
Tuas South,2015,2060.9195931244158
Tuas South,2016,2245.2000000000003
Tuas South,2017,2886.8344803476866
Tuas South,2018,1926.9170788243102
Tuas South,2019,1295.7116051548405
Tuas South,2020,3560.561954872874
Tuas South,2021,2925.5480317311517
Tuas South,2022,2800.549696428418
Tuas South,2023,3145.3123034931273
