year,meantemp,maxtemp,mintemp
2014,28.02258064516129,29.400000000000002,20.8
2015,28.19516129032258,29.100000000000005,21.588494233094064
2016,28.33225806451613,29.400000000000002,21.199999999999996
2017,28,29.300000000000008,21.700000000000003
2018,27.98225806451613,29.400000000000002,20.900000000000002
2019,28.41673835125448,29.100000000000005,21.099999999999998
2020,28.072093993325915,29.300000000000008,21.4
2021,27.92557603686636,29.200000000000003,21.4
2022,27.77497311827957,29.500000000000004,20.399999999999995
2023,28.366666666666667,29.700000000000003,21.099999999999998
